"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Reported 1 st  case
Vatican City,6,0, ,0,0,6,0,"7,491",0,Mar 05  
Sint Maarten,6,0, ,0,0,6,0,140,0,Mar 17 
Nepal,5,0, ,0,1,4,0,0.2,0,Jan 23 
Fiji,5,0, ,0,0,5,0,6,0,Mar 18 
Mauritania,5,0, ,0,2,3,0,1,0,Mar 12 
Montserrat,5,0, ,0,0,5,0,"1,002",0,Mar 17 
St. Barth,5,0, ,0,0,5,0,506,0,Feb 29 
Gambia,4,0,1 ,0,0,3,0,2,0.4,Mar 16 
Nicaragua,4,0,1 ,0,0,3,0,0.6,0.2,Mar 18 
Bhutan,4,0, ,0,0,4,0,5,0,Mar 05 
Turks and Caicos,4,0, ,0,0,4,0,103,0,Mar 22 
CAR,3,0, ,0,0,3,0,0.6,0,Mar 14 
Chad,3,0, ,0,0,3,0,0.2,0,Mar 18 
Liberia,3,0, ,0,0,3,0,0.6,0,Mar 15 
Somalia,3,0, ,0,0,3,0,0.2,0,Mar 15 
MS Zaandam,2,0, ,0,0,2,0,0,0,Mar 26 
Anguilla,2,0, ,0,0,2,0,133,0,Mar 25 
Belize,2,0, ,0,0,2,0,5,0,Mar 22 
British Virgin Islands,2,0, ,0,0,2,0,66,0,Mar 24 
Guinea-Bissau,2,0, ,0,0,2,0,1,0,Mar 24 
Saint Kitts and Nevis,2,0, ,0,0,2,0,38,0,Mar 24 
Papua New Guinea,1,0, ,0,0,1,0,0.1,0,Mar 19 
St. Vincent Grenadines,1,0, ,0,1,0,0,9,0,Mar 10 
Timor-Leste,1,0, ,0,0,1,0,0.8,0,Mar 20 
China,"81,470",+31,"3,304 ",+4,"75,700","2,466",633,57,2,Jan 10 
